experiment_name,embedding_model,reducer,clusterer,num_clusters,noise_points,cluster_sizes
bge-large-en-v1.5__pca__kmeans,bge-large-en-v1.5,pca,kmeans,8,0,"{0: 405, 1: 278, 2: 292, 3: 311, 4: 356, 5: 375, 6: 264, 7: 304}"
bge-large-en-v1.5__pca__dbscan,bge-large-en-v1.5,pca,dbscan,1,166,"{-1: 166, 0: 2419}"
bge-large-en-v1.5__pca__hdbscan,bge-large-en-v1.5,pca,hdbscan,5,1297,"{-1: 1297, 0: 10, 1: 11, 2: 11, 3: 21, 4: 1235}"
bge-large-en-v1.5__umap__kmeans,bge-large-en-v1.5,umap,kmeans,8,0,"{0: 357, 1: 372, 2: 349, 3: 310, 4: 115, 5: 464, 6: 255, 7: 363}"
bge-large-en-v1.5__umap__dbscan,bge-large-en-v1.5,umap,dbscan,7,79,"{-1: 79, 0: 2441, 1: 25, 2: 10, 3: 9, 4: 9, 5: 5, 6: 7}"
bge-large-en-v1.5__umap__hdbscan,bge-large-en-v1.5,umap,hdbscan,64,964,"{-1: 964, 0: 10, 1: 25, 2: 11, 3: 14, 4: 110, 5: 10, 6: 27, 7: 27, 8: 16, 9: 30, 10: 13, 11: 28, 12: 66, 13: 22, 14: 40, 15: 18, 16: 14, 17: 35, 18: 11, 19: 13, 20: 11, 21: 39, 22: 45, 23: 31, 24: 69, 25: 18, 26: 10, 27: 11, 28: 17, 29: 16, 30: 11, 31: 18, 32: 37, 33: 33, 34: 19, 35: 16, 36: 10, 37: 16, 38: 41, 39: 28, 40: 14, 41: 16, 42: 12, 43: 14, 44: 42, 45: 19, 46: 30, 47: 15, 48: 17, 49: 12, 50: 10, 51: 25, 52: 39, 53: 26, 54: 30, 55: 31, 56: 42, 57: 25, 58: 15, 59: 15, 60: 67, 61: 21, 62: 30, 63: 18}"
all-MiniLM-L6-v2__pca__kmeans,all-MiniLM-L6-v2,pca,kmeans,8,0,"{0: 576, 1: 568, 2: 351, 3: 100, 4: 209, 5: 217, 6: 402, 7: 162}"
all-MiniLM-L6-v2__pca__dbscan,all-MiniLM-L6-v2,pca,dbscan,15,2428,"{-1: 2428, 0: 21, 1: 44, 2: 9, 3: 7, 4: 8, 5: 5, 6: 7, 7: 5, 8: 7, 9: 8, 10: 6, 11: 9, 12: 11, 13: 5, 14: 5}"
all-MiniLM-L6-v2__pca__hdbscan,all-MiniLM-L6-v2,pca,hdbscan,4,610,"{-1: 610, 0: 10, 1: 18, 2: 14, 3: 1933}"
all-MiniLM-L6-v2__umap__kmeans,all-MiniLM-L6-v2,umap,kmeans,8,0,"{0: 572, 1: 351, 2: 295, 3: 120, 4: 212, 5: 379, 6: 347, 7: 309}"
all-MiniLM-L6-v2__umap__dbscan,all-MiniLM-L6-v2,umap,dbscan,8,73,"{-1: 73, 0: 2447, 1: 14, 2: 7, 3: 6, 4: 6, 5: 22, 6: 5, 7: 5}"
all-MiniLM-L6-v2__umap__hdbscan,all-MiniLM-L6-v2,umap,hdbscan,60,867,"{-1: 867, 0: 14, 1: 22, 2: 15, 3: 25, 4: 10, 5: 17, 6: 26, 7: 12, 8: 11, 9: 15, 10: 23, 11: 10, 12: 11, 13: 80, 14: 13, 15: 10, 16: 20, 17: 15, 18: 14, 19: 12, 20: 117, 21: 109, 22: 14, 23: 20, 24: 20, 25: 23, 26: 10, 27: 57, 28: 20, 29: 30, 30: 13, 31: 11, 32: 13, 33: 11, 34: 11, 35: 10, 36: 30, 37: 17, 38: 10, 39: 71, 40: 19, 41: 27, 42: 13, 43: 26, 44: 38, 45: 21, 46: 19, 47: 15, 48: 63, 49: 24, 50: 67, 51: 44, 52: 30, 53: 71, 54: 16, 55: 63, 56: 12, 57: 38, 58: 11, 59: 109}"
